1001,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 1
1002,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 2
1003,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 3
1004,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 4
1005,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 5
1006,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 6
1007,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 7
1008,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 8
1009,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 9
1010,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 10
1011,Newfoundland and Labrador / Terre-Neuve-et-Labrador,Division No. 11
1101,Prince Edward Island / Île-du-Prince-Édouard,Kings
1102,Prince Edward Island / Île-du-Prince-Édouard,Queens
1103,Prince Edward Island / Île-du-Prince-Édouard,Prince
1201,Nova Scotia / Nouvelle-Écosse,Shelburne
1202,Nova Scotia / Nouvelle-Écosse,Yarmouth
1203,Nova Scotia / Nouvelle-Écosse,Digby
1204,Nova Scotia / Nouvelle-Écosse,Queens
1205,Nova Scotia / Nouvelle-Écosse,Annapolis
1206,Nova Scotia / Nouvelle-Écosse,Lunenburg
1207,Nova Scotia / Nouvelle-Écosse,Kings
1208,Nova Scotia / Nouvelle-Écosse,Hants
1209,Nova Scotia / Nouvelle-Écosse,Halifax
1210,Nova Scotia / Nouvelle-Écosse,Colchester
1211,Nova Scotia / Nouvelle-Écosse,Cumberland
1212,Nova Scotia / Nouvelle-Écosse,Pictou
1213,Nova Scotia / Nouvelle-Écosse,Guysborough
1214,Nova Scotia / Nouvelle-Écosse,Antigonish
1215,Nova Scotia / Nouvelle-Écosse,Inverness
1216,Nova Scotia / Nouvelle-Écosse,Richmond
1217,Nova Scotia / Nouvelle-Écosse,Cape Breton
1218,Nova Scotia / Nouvelle-Écosse,Victoria
1301,New Brunswick / Nouveau-Brunswick,Saint John
1302,New Brunswick / Nouveau-Brunswick,Charlotte
1303,New Brunswick / Nouveau-Brunswick,Sunbury
1304,New Brunswick / Nouveau-Brunswick,Queens
